Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR27013298_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	25.04176671977315	41.0	228.9742285443165	274	9.090909090909092	0.7671859999999999
SRR27013299_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	28.67590591691973	41.0	221.9554792835956	254	9.090909090909092	0.813172
SRR27013299_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	24.59747913067038	41.0	226.57420816260276	274	9.090909090909092	0.813172
SRR27013300_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	24.061588834632957	41.0	239.2402795881935	274	9.090909090909092	0.685079
SRR27013300_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	23.863809733429747	41.0	245.18177538648828	301	9.090909090909092	0.685079
SRR27013301_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	26.97104765496637	40.0	227.4105193511935	264	9.090909090909092	0.745122
SRR27013301_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	23.15143396039352	41.0	232.4154507583993	294	9.090909090909092	0.745122
SRR27013302_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	27.429888613517747	40.0	219.5321669666393	244	9.090909090909092	0.784516
SRR27013302_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	23.688208119716236	41.0	224.7847596479868	264	9.090909090909092	0.784516
SRR27013303_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	27.788354298377044	40.0	226.7191771652571	264	9.090909090909092	0.769389
SRR27013303_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	23.54678496145442	41.0	232.12892632985395	294	9.090909090909092	0.769389
SRR27013304_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	31.87989633628871	41.0	222.0279272103425	254	9.090909090909092	0.9792599999999999
SRR27013304_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	27.865096363341863	41.0	226.50595449625226	274	9.090909090909092	0.9792599999999999
SRR27013305_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	20.9953253063031	41.0	248.44847265701182	294	9.090909090909092	0.497367
SRR27013306_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	24.319866947593894	41.0	222.9465711951692	264	9.090909090909092	0.724684
