Sample	Unique Reads	Duplicate Reads
SRR27013336_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	581288.0	247813.0
SRR27013336_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	631695.0	197406.0
SRR27013337_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	458272.0	202170.0
SRR27013337_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	496826.0	163616.0
SRR27013338_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	458943.0	205448.0
SRR27013339_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	514054.0	193105.0
SRR27013339_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	552204.0	154955.0
SRR27013340_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	450484.0	151303.0
SRR27013341_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	708244.0	390554.0
SRR27013342_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	597107.0	272836.0
SRR27013342_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	626635.0	243308.0
SRR27013343_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	617098.0	422602.0
SRR27013343_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	651709.0	387991.0
