Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	5.2601711192596525	40.0	268.2350325213899	301	9.090909090909092	0.09163199999999999
SRR27013257_1	21.793310837056836	40.0	282.00628649421503	301	9.090909090909092	0.508471
SRR27013257_2	17.40795436338348	40.0	281.9049631149072	301	9.090909090909092	0.508471
SRR27013258_1	22.42616370097953	40.0	277.20298262553865	301	9.090909090909092	0.516793
SRR27013258_2	18.83234053656949	40.0	276.9923615451448	301	9.090909090909092	0.516793
SRR27013259_1	21.280833216702575	40.0	282.27541397825206	301	9.090909090909092	0.509749
SRR27013259_2	16.29221445913778	40.0	282.28340222344724	301	9.090909090909092	0.509749
SRR27013260_1	25.4277899662042	40.0	275.82128008033186	301	9.090909090909092	0.623414
SRR27013260_2	21.03520406898795	41.0	275.6641485433436	301	9.090909090909092	0.623414
SRR27013261_1	26.639174687120345	41.0	245.8921425687321	294	9.090909090909092	0.636493
SRR27013261_2	23.464850425713053	41.0	245.90623306147907	294	9.090909090909092	0.636493
SRR27013262_1	25.51568243780484	40.0	275.24657783105295	301	9.090909090909092	0.6440359999999999
SRR27013262_2	21.356114540354795	40.0	274.98079532821146	301	9.090909090909092	0.6440359999999999
SRR27013263_1	27.0984210107369	41.0	250.6600450585139	294	9.090909090909092	0.675566
SRR27013263_2	24.080817454316175	41.0	250.66377674424112	301	9.090909090909092	0.675566
SRR27013264_1	27.40616621463758	40.0	251.60636638257006	301	9.090909090909092	0.715367
SRR27013264_2	22.392898231026493	41.0	251.405751173873	301	9.090909090909092	0.715367
SRR27013265_1	34.78980096042832	41.0	237.8974630953077	274	9.090909090909092	1.077573
SRR27013265_2	31.252819961499483	41.0	237.87837807740172	274	18.181818181818183	1.077573
SRR27013266_1	32.28014964369305	41.0	250.95908598508976	301	9.090909090909092	0.891736
SRR27013266_2	27.781350803380775	41.0	250.9540211452717	301	18.181818181818183	0.891736
SRR27013267_1	31.04472261312658	41.0	244.37791627005873	284	9.090909090909092	0.832056
SRR27013267_2	29.030475296477434	41.0	243.80233842433682	284	9.090909090909092	0.832056
SRR27013268_1	35.56039376778833	40.0	215.09290310690645	234	18.181818181818183	1.30226
SRR27013268_2	32.93884961668792	40.0	214.71491292061492	234	27.27272727272727	1.30226
SRR27013269_1	28.725190143484483	41.0	247.82171251370065	294	18.181818181818183	0.7481399999999999
SRR27013269_2	25.941300476319824	41.0	247.5907684390622	294	27.27272727272727	0.7481399999999999
SRR27013270_1	18.426177333876254	40.0	280.65049526426145	301	9.090909090909092	0.41492999999999997
SRR27013270_2	15.395555266550403	40.0	280.86554117561997	301	9.090909090909092	0.41492999999999997
SRR27013271_1	28.71133769654908	41.0	241.58363079395895	284	9.090909090909092	0.766488
SRR27013271_2	24.8508248069044	41.0	241.6099651918882	284	18.181818181818183	0.766488
SRR27013272_1	25.925099800213047	41.0	241.529585357699	294	9.090909090909092	0.663994
SRR27013272_2	23.267455305287797	41.0	241.20748079048906	294	9.090909090909092	0.663994
SRR27013273_1	34.386575123837005	41.0	258.45419611827447	301	9.090909090909092	0.9173239999999999
SRR27013273_2	30.213858732907227	41.0	258.4741012989958	301	18.181818181818183	0.9173239999999999
SRR27013274_1	32.195047560334444	41.0	232.47786229251375	274	9.090909090909092	0.9702449999999999
SRR27013274_2	27.895197125965097	41.0	232.48452658864514	274	9.090909090909092	0.9702449999999999
SRR27013275_1	33.80158820131402	41.0	231.2197979538547	264	9.090909090909092	1.051245
SRR27013275_2	31.304237233159043	41.0	230.9883366865003	264	9.090909090909092	1.051245
SRR27013276_1	28.29286429639366	41.0	242.88943783013332	294	9.090909090909092	0.7156199999999999
