Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
SRR27013313_2	(19.0, 36.0)	(20.0, 1312.0)	(21.0, 5016.0)	(22.0, 6765.0)	(23.0, 8233.0)	(24.0, 9945.0)	(25.0, 11928.0)	(26.0, 14277.0)	(27.0, 17458.0)	(28.0, 20601.0)	(29.0, 25429.0)	(30.0, 30352.0)	(31.0, 37126.0)	(32.0, 45679.0)	(33.0, 55248.0)	(34.0, 65764.0)	(35.0, 73115.0)	(36.0, 76139.0)	(37.0, 96744.0)			
SRR27013314_1	(30.0, 817716.0)																					
SRR27013314_2	(30.0, 817716.0)																					
SRR27013315_1	(30.0, 692170.0)																					
SRR27013315_2	(30.0, 692170.0)																					
SRR27013316_1	(30.0, 652071.0)																					
SRR27013316_2	(30.0, 652071.0)																					
SRR27013317_1	(30.0, 679402.0)																					
SRR27013317_2	(30.0, 679402.0)																					
SRR27013318_1	(30.0, 454517.0)																					
SRR27013318_2	(30.0, 454517.0)																					
SRR27013319_1	(30.0, 474898.0)																					
SRR27013319_2	(30.0, 474898.0)																					
SRR27013320_1	(30.0, 672252.0)																					
SRR27013320_2	(30.0, 672252.0)																					
SRR27013321_1	(19.0, 7.0)	(20.0, 54.0)	(21.0, 357.0)	(22.0, 749.0)	(23.0, 1378.0)	(24.0, 2134.0)	(25.0, 3360.0)	(26.0, 5218.0)	(27.0, 7702.0)	(28.0, 10922.0)	(29.0, 15086.0)	(30.0, 20374.0)	(31.0, 26687.0)	(32.0, 35097.0)	(33.0, 46131.0)	(34.0, 62458.0)	(35.0, 89583.0)	(36.0, 139115.0)	(37.0, 257064.0)			
SRR27013321_2	(19.0, 30.0)	(20.0, 1331.0)	(21.0, 4921.0)	(22.0, 6741.0)	(23.0, 8336.0)	(24.0, 10331.0)	(25.0, 12695.0)	(26.0, 15316.0)	(27.0, 18845.0)	(28.0, 22540.0)	(29.0, 27284.0)	(30.0, 33306.0)	(31.0, 41237.0)	(32.0, 51466.0)	(33.0, 62797.0)	(34.0, 76231.0)	(35.0, 88413.0)	(36.0, 100742.0)	(37.0, 140914.0)			
SRR27013322_1	(30.0, 750952.0)																					
SRR27013322_2	(30.0, 750952.0)																					
SRR27013323_1	(30.0, 575545.0)																					
SRR27013323_2	(30.0, 575545.0)																					
SRR27013324_1	(30.0, 656198.0)																					
SRR27013324_2	(30.0, 656198.0)																					
SRR27013325_1	(30.0, 746323.0)																					
SRR27013325_2	(30.0, 746323.0)																					
SRR27013326_1	(30.0, 667639.0)																					
SRR27013326_2	(30.0, 667639.0)																					
SRR27013327_1	(30.0, 640960.0)																					
SRR27013327_2	(30.0, 640960.0)																					
SRR27013328_1	(30.0, 624379.0)																					
SRR27013328_2	(30.0, 624379.0)																					
SRR27013329_1	(19.0, 6.0)	(20.0, 84.0)	(21.0, 493.0)	(22.0, 1050.0)	(23.0, 1820.0)	(24.0, 2890.0)	(25.0, 4715.0)	(26.0, 7362.0)	(27.0, 10932.0)	(28.0, 15133.0)	(29.0, 20797.0)	(30.0, 27526.0)	(31.0, 35542.0)	(32.0, 45948.0)	(33.0, 58990.0)	(34.0, 78034.0)	(35.0, 106851.0)	(36.0, 155508.0)	(37.0, 235509.0)			
