.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR27013261_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013261_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013262_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013262_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013263_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013263_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013264_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013264_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013265_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013265_2	1	1	0.25	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013266_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013266_2	1	1	0.25	1	0.25	0.5	1	0.5	1	1	1
SRR27013267_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013267_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013268_1	1	1	0.25	1	0.25	1	1	0.5	0.5	1	1
SRR27013268_2	1	0.25	0.25	1	0.25	1	1	0.5	0.5	1	1
SRR27013269_1	1	1	0.25	1	0.25	0.5	1	0.5	1	1	1
SRR27013269_2	1	0.25	0.25	1	0.25	0.5	1	0.5	1	1	1
SRR27013270_1	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013270_2	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013271_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013271_2	1	1	0.25	1	0.25	0.5	1	0.5	1	1	1
SRR27013272_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013272_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013273_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013273_2	1	1	0.25	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013274_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013274_2	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013275_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013275_2	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013276_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013276_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013277_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013277_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013278_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013278_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013279_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013279_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013280_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013280_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013281_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013281_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013282_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013282_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013283_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013283_2	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013284_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013284_2	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013285_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013285_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013286_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013286_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013287_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013287_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
