Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR27013252_1	(30, 535.0)	(40, 1356.0)	(50, 1538.0)	(60, 1771.0)	(70, 1962.0)	(80, 2212.0)	(90, 2501.0)	(100, 2662.0)	(110, 3185.0)	(120, 3446.0)	(130, 3928.0)	(140, 4582.0)	(150, 5284.0)	(160, 5875.0)	(170, 6630.0)	(180, 7346.0)	(190, 8341.0)	(200, 9163.0)	(210, 9853.0)	(220, 10692.0)	(230, 11423.0)	(240, 12119.0)	(250, 12887.0)	(260, 13431.0)	(270, 13800.0)	(280, 14295.0)	(290, 40338.0)	(300, 350472.0)
SRR27013252_2	(30, 537.0)	(40, 1353.0)	(50, 1539.0)	(60, 1769.0)	(70, 1962.0)	(80, 2216.0)	(90, 2503.0)	(100, 2664.0)	(110, 3188.0)	(120, 3450.0)	(130, 3938.0)	(140, 4587.0)	(150, 5296.0)	(160, 5887.0)	(170, 6649.0)	(180, 7353.0)	(190, 8352.0)	(200, 9178.0)	(210, 9873.0)	(220, 10713.0)	(230, 11429.0)	(240, 12150.0)	(250, 12904.0)	(260, 13444.0)	(270, 13819.0)	(280, 14311.0)	(290, 37880.0)	(300, 352683.0)
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 535.0)	(40, 1356.0)	(50, 1538.0)	(60, 1771.0)	(70, 1962.0)	(80, 2212.0)	(90, 2501.0)	(100, 2662.0)	(110, 3185.0)	(120, 3446.0)	(130, 3928.0)	(140, 4582.0)	(150, 5284.0)	(160, 5875.0)	(170, 6630.0)	(180, 7346.0)	(190, 8341.0)	(200, 9163.0)	(210, 9853.0)	(220, 10692.0)	(230, 11423.0)	(240, 12119.0)	(250, 12887.0)	(260, 13431.0)	(270, 13800.0)	(280, 14295.0)	(290, 40338.0)	(300, 350472.0)
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 537.0)	(40, 1353.0)	(50, 1539.0)	(60, 1769.0)	(70, 1962.0)	(80, 2216.0)	(90, 2503.0)	(100, 2664.0)	(110, 3188.0)	(120, 3450.0)	(130, 3938.0)	(140, 4587.0)	(150, 5296.0)	(160, 5887.0)	(170, 6649.0)	(180, 7353.0)	(190, 8352.0)	(200, 9178.0)	(210, 9873.0)	(220, 10713.0)	(230, 11429.0)	(240, 12150.0)	(250, 12904.0)	(260, 13444.0)	(270, 13819.0)	(280, 14311.0)	(290, 37880.0)	(300, 352683.0)
SRR27013253_1	(30, 219.0)	(40, 537.0)	(50, 548.0)	(60, 618.0)	(70, 718.0)	(80, 803.0)	(90, 923.0)	(100, 1006.0)	(110, 1139.0)	(120, 1265.0)	(130, 1531.0)	(140, 1738.0)	(150, 2060.0)	(160, 2486.0)	(170, 2859.0)	(180, 3372.0)	(190, 4026.0)	(200, 4423.0)	(210, 5251.0)	(220, 5947.0)	(230, 6724.0)	(240, 7504.0)	(250, 8133.0)	(260, 9029.0)	(270, 9794.0)	(280, 10349.0)	(290, 38254.0)	(300, 373981.0)
SRR27013253_2	(30, 219.0)	(40, 539.0)	(50, 549.0)	(60, 611.0)	(70, 715.0)	(80, 806.0)	(90, 926.0)	(100, 1007.0)	(110, 1141.0)	(120, 1264.0)	(130, 1532.0)	(140, 1741.0)	(150, 2061.0)	(160, 2480.0)	(170, 2867.0)	(180, 3378.0)	(190, 4025.0)	(200, 4420.0)	(210, 5246.0)	(220, 5959.0)	(230, 6719.0)	(240, 7503.0)	(250, 8127.0)	(260, 9020.0)	(270, 9803.0)	(280, 10338.0)	(290, 36290.0)	(300, 375951.0)
SRR27013254_1	(30, 663.0)	(40, 1576.0)	(50, 1963.0)	(60, 2128.0)	(70, 2242.0)	(80, 2476.0)	(90, 2654.0)	(100, 2965.0)	(110, 3270.0)	(120, 3593.0)	(130, 4118.0)	(140, 4585.0)	(150, 5171.0)	(160, 6024.0)	(170, 6860.0)	(180, 7748.0)	(190, 8629.0)	(200, 9998.0)	(210, 10899.0)	(220, 12090.0)	(230, 13224.0)	(240, 14416.0)	(250, 15403.0)	(260, 16584.0)	(270, 17366.0)	(280, 18090.0)	(290, 44678.0)	(300, 358026.0)
SRR27013254_2	(30, 661.0)	(40, 1586.0)	(50, 1972.0)	(60, 2141.0)	(70, 2246.0)	(80, 2493.0)	(90, 2663.0)	(100, 2978.0)	(110, 3271.0)	(120, 3590.0)	(130, 4120.0)	(140, 4587.0)	(150, 5177.0)	(160, 6026.0)	(170, 6861.0)	(180, 7757.0)	(190, 8643.0)	(200, 9993.0)	(210, 10912.0)	(220, 12084.0)	(230, 13242.0)	(240, 14398.0)	(250, 15359.0)	(260, 16575.0)	(270, 17304.0)	(280, 18010.0)	(290, 41356.0)	(300, 361434.0)
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 663.0)	(40, 1576.0)	(50, 1963.0)	(60, 2128.0)	(70, 2242.0)	(80, 2476.0)	(90, 2654.0)	(100, 2965.0)	(110, 3270.0)	(120, 3593.0)	(130, 4118.0)	(140, 4585.0)	(150, 5171.0)	(160, 6024.0)	(170, 6860.0)	(180, 7748.0)	(190, 8629.0)	(200, 9998.0)	(210, 10899.0)	(220, 12090.0)	(230, 13224.0)	(240, 14416.0)	(250, 15403.0)	(260, 16584.0)	(270, 17366.0)	(280, 18090.0)	(290, 44678.0)	(300, 358026.0)
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 661.0)	(40, 1586.0)	(50, 1972.0)	(60, 2141.0)	(70, 2246.0)	(80, 2493.0)	(90, 2663.0)	(100, 2978.0)	(110, 3271.0)	(120, 3590.0)	(130, 4120.0)	(140, 4587.0)	(150, 5177.0)	(160, 6026.0)	(170, 6861.0)	(180, 7757.0)	(190, 8643.0)	(200, 9993.0)	(210, 10912.0)	(220, 12084.0)	(230, 13242.0)	(240, 14398.0)	(250, 15359.0)	(260, 16575.0)	(270, 17304.0)	(280, 18010.0)	(290, 41356.0)	(300, 361434.0)
