"","fm_1","fm_2","fm_3","fm_4","m_1","m_2","m_3"
"SAOUHSC_00120",141.494692448433,232.220306915724,155.641469025161,209.332575993446,110.064229894754,0,45.9032712334951
"SAOUHSC_00121",18.200562099176,118.690379090259,11.1972279874216,65.4164299979518,75.2105570947482,0,0.342561725623097
"SAOUHSC_00122",0,196.097148062167,115.331448270443,42.8180269077503,80.7137685894859,2.47463653573817,0
"SAOUHSC_00123",0,64.5056408099234,146.683686635223,51.143754362035,83.4653743368548,0,0
"SAOUHSC_00124",4.69691925140027,67.0858664423204,160.120360220129,23.7877927265279,30.2676632210572,0,1.71280862811549
"SAOUHSC_00125",324.674543253044,172.875117370595,165.71897421384,421.043931259544,376.052785473741,9.89854614295266,35.283857739179
"SAOUHSC_00126",28.1815155084016,69.6660920747173,29.1127927672963,29.7347409081599,42.1912881263222,2.47463653573817,8.22148141495434
"SAOUHSC_00127",647.000626880387,601.192572348486,334.797116823907,868.254434518269,691.570244505368,32.1702749645961,185.325893562096
"SAOUHSC_00128",457.949627011526,756.006110292303,272.092640094346,537.604115619531,420.995679347432,19.7970922859053,194.917621879542
"SAOUHSC_00129",142.081807354858,121.270604722656,39.1902979559757,159.378211267737,159.593133347393,7.4239096072145,33.9136108366867
"SAOUHSC_00130",1.7613447192751,20.6418050591755,0,2.37877927265279,0.917201915789613,0,2.39793207936168
"SAOUHSC_00131",8.21960868995047,23.2220306915724,1.11972279874216,2.37877927265279,0.917201915789613,1.23731826786908,0.685123451246195
"SAOUHSC_00132",9681.5248069488,3485.88482936826,5663.55791603786,9009.62649517245,9138.08268701191,13909.9319673842,8185.16987203829
"SAOUHSC_00133",238.955766914989,278.664368298869,76.1411503144671,208.143186357119,213.70804637898,112.595962376087,71.9379623808505
"SAOUHSC_00134",125.055475068532,258.022563239694,3.35916839622649,368.710787261183,334.778699263209,231.378516091518,23.9793207936168
"SAOUHSC_00135",2.34845962570013,7.74067689719081,0,10.7045067269376,4.58600957894806,3.71195480360725,2.74049380498478
"SAOUHSC_00136",18.7876770056011,5.16045126479387,4.47889119496865,2.37877927265279,10.0892210736857,3.71195480360725,1.37024690249239
"SAOUHSC_00137",18.7876770056011,30.9627075887633,0,2.37877927265279,6.42041341052729,7.4239096072145,5.13842588434646
"SAOUHSC_00138",0,20.6418050591755,10.0775051886795,2.37877927265279,5.50321149473768,2.47463653573817,5.82354933559266
"SAOUHSC_00139",21.1361366313012,0,20.1550103773589,11.893896363264,11.0064229894754,4.94927307147633,2.05537035373859
"SAOUHSC_00141",79.8476272738046,64.5056408099234,22.3944559748433,199.817458902835,122.905056715808,51.9673672505015,0
"SAOUHSC_00142",32.8784347598019,20.6418050591755,38.0705751572336,28.5453512718335,36.6880766315845,9.89854614295266,0
"SAOUHSC_00143",18.7876770056011,25.8022563239694,29.1127927672963,4.75755854530559,1.83440383157923,9.89854614295266,84.270184503282
"SAOUHSC_00144",536.035909566056,637.315731202044,777.087622327062,1323.79066523128,865.838608505394,1075.22957477823,1373.67251974862
"SAOUHSC_00145",32.8784347598019,0,22.3944559748433,54.7119232710142,47.6944996210599,24.7463653573817,188.408949092704
"SAOUHSC_00146",738.003437376267,87.7276715014959,8.95778238993731,334.218487807717,384.307602715848,212.818742073482,90.0937338388746
"SAOUHSC_00147",85.7187763380549,2.58022563239694,14.5563963836481,23.7877927265279,22.0128459789507,3.71195480360725,16.1004011042856
"SAOUHSC_00148",2.34845962570013,12.9011281619847,15.6761191823903,33.3029098171391,16.509634484213,13.6105009465599,7.19379623808505
"SAOUHSC_00149",3.5226894385502,10.3209025295877,0,2.37877927265279,1.83440383157923,2.47463653573817,6.85123451246195
"SAOUHSC_00150",27.0072856955515,15.4813537943816,40.3100207547179,4.75755854530559,9.17201915789613,17.3224557501672,6.16611106121575
"SAOUHSC_00151",7.0453788771004,5.16045126479387,20.1550103773589,11.893896363264,0,19.7970922859053,39.0520367210331
"SAOUHSC_00152",82.7832018059297,54.1847382803357,147.803409433966,117.749573996313,129.325470126335,113.833280643956,151.069720999786
"SAOUHSC_00153",692.208474675115,268.343465769282,912.574080974863,736.232184886039,764.946397768537,882.207924990656,2160.19424177925
"SAOUHSC_00155",59.8857204553534,72.2463177071143,69.4228135220142,102.28750872407,27.5160574736884,51.9673672505015,60.6334254352883
"SAOUHSC_00156",28.1815155084016,206.418050591755,96.2961606918261,256.908161446502,124.739460547387,91.5615518223121,136.339566797993
"SAOUHSC_00157",16.4392173799009,67.0858664423204,42.5494663522022,88.0148330881533,49.5289034526391,42.0688211075488,113.045369455622
